unit_id,source,union_gross_m2,union_hydro_land_m2,coverage_gross,coverage_hydro_land,summed_individual_m2,strict_cross_city_accepted
CHI:24,overture,3516064.4641555995,3516030.8014751673,0.2969098847563002,0.3012987653512476,3518585.727638934,False
CHI:24,municipal_2015,3334917.512194266,3334897.494998641,0.28161314569502954,0.2857769327260985,3334982.249335768,False
CHI:28,overture,3770050.9662362416,3769938.0551894037,0.2562319863834044,0.25821320664708586,3800882.2161680236,False
CHI:28,municipal_2015,3494366.756223536,3494318.8368526623,0.2374950745011185,0.2393353043743076,3494648.5216807197,False
CHI:30,overture,2465924.3882219824,2461221.997760093,0.20752020376711602,0.21519709341757196,2472105.760612837,False
CHI:30,municipal_2015,2519418.702244028,2519418.7022440275,0.2120220250716376,0.2202855257746782,2519421.1066857995,False
CHI:32,overture,1213098.8861479906,1210064.6036697805,0.28202266082291233,0.3048630649695421,1270646.7965191582,False
CHI:32,municipal_2015,1133495.9319768648,1131083.4611291988,0.263516472085083,0.2849645958161638,1134651.0926155054,False
CHI:76,overture,1632860.7806594248,1632307.0500317812,0.047298555870383265,0.04806771702937075,1665968.4626826379,False
CHI:76,municipal_2015,1499571.4205241953,1499571.4205241955,0.04343760561549516,0.04415895569751117,1499571.4377935631,False
