district_id,distance,rank
08,0.5376137209266624,1
09,0.6278885542753905,2
14,0.6817582390741499,3
62,0.7644821255777918,4
53,0.8324555037240111,5
80,0.8465572731550413,6
49,0.8680252758212661,7
48,0.8919133928654409,8
90,0.9258133210283097,9
69,0.9536581158897264,10
34,0.9749247068289515,11
45,1.0115615619912812,12
26,1.064066479839912,13
70,1.0706558682346847,14
07,1.0893405280794801,15
60,1.1344948163973865,16
32,1.1365141512585508,17
56,1.139102182949956,18
35,1.14841691997716,19
77,1.163418448088118,20
71,1.178213910556012,21
20,1.212733837540704,22
89,1.242015272383155,23
01,1.2739156921842272,24
21,1.2837236674418793,25
15,1.2885607219317616,26
59,1.3027120368536684,27
86,1.3088035443786499,28
93,1.340914546721879,29
06,1.3418964713529797,30
85,1.3685326906534108,31
78,1.385159781949792,32
88,1.41399236137217,33
38,1.4263285856549426,34
37,1.4478595129101717,35
91,1.4495210589803602,36
73,1.4827203854374744,37
16,1.506451207706425,38
74,1.5463073293430492,39
66,1.5526475218919167,40
04,1.5541635510155614,41
82,1.56023110546564,42
50,1.5655066996041689,43
28,1.6050521541836757,44
31,1.622004206406435,45
05,1.6284865817131684,46
72,1.6400326118109174,47
24,1.6459737787234834,48
29,1.6460262123419922,49
83,1.6530089994431658,50
68,1.661726021742205,51
94,1.665964860400298,52
36,1.685580882977962,53
22,1.6928277164992995,54
17,1.6928625304755962,55
79,1.6935517019630661,56
84,1.6962777241689946,57
64,1.7082878581113399,58
92,1.7214189965947517,59
18,1.7253370523586606,60
19,1.7423928045304276,61
96,1.7461356268617558,62
27,1.762834713332031,63
46,1.7680015871626162,64
12,1.7760609423494609,65
63,1.7954069563868462,66
13,1.8083099111633523,67
41,1.8146702066188272,68
39,1.8221324539305255,69
76,1.8405704274134198,70
54,1.8465572309722302,71
44,1.8598592739393327,72
87,1.8820671983272195,73
02,1.9143391717227898,74
95,1.920355907636818,75
51,1.9258127567128651,76
75,1.9367865462903138,77
23,1.9695095943905112,78
67,1.981380007980256,79
11,1.9822176478361668,80
40,1.9890282413249736,81
47,1.993915063083909,82
58,2.0909034663461075,83
43,2.1656913669961373,84
57,2.1854867148225985,85
65,2.218467918501066,86
42,2.247461262771979,87
33,2.271267007497295,88
25,2.3405930515203774,89
81,2.8997669535253605,90
30,2.914515021122615,91
61,2.9243526425046706,92
03,3.4448506510246197,93
55,4.4711497975193675,94
52,8.609987245912434,95
