unit_id,family,feature,value,numerator,denominator,units,period,status,strict_cross_city_accepted
CHI:16,U2,jobs_density_2022_gross_km2,1332.6202331571815,11086.29858987329,8.319173245334982,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:17,U3,population_density_2020_gross_km2,4484.123788881198,43127.031065861614,9.617716436107115,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:17,U2,jobs_density_2022_gross_km2,572.0865053966968,5502.165785828892,9.617716436107115,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:18,U3,population_density_2020_gross_km2,5622.453306429862,14394.445688369802,2.5601716730858843,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:18,U2,jobs_density_2022_gross_km2,910.6343530773734,2331.380275287581,2.5601716730858843,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:19,U3,population_density_2020_gross_km2,7714.466249555631,78136.42700019416,10.128559056784386,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:19,U2,jobs_density_2022_gross_km2,950.980455252866,9632.061702876355,10.128559056784386,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:20,U3,population_density_2020_gross_km2,7966.478609922593,24111.85617805001,3.0266642714658962,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:20,U2,jobs_density_2022_gross_km2,1297.159919047758,3926.067581359443,3.0266642714658962,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:21,U3,population_density_2020_gross_km2,7063.537024885225,36256.68496346299,5.132936209682022,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:21,U2,jobs_density_2022_gross_km2,1786.9835887883196,9172.472768999094,5.132936209682022,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:22,U3,population_density_2020_gross_km2,7717.136676529533,71683.36269248633,9.288854881953833,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:22,U2,jobs_density_2022_gross_km2,2156.18173419055,20028.45922801557,9.288854881953833,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:23,U3,population_density_2020_gross_km2,5797.148725821499,54077.22178726293,9.328244684562545,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:23,U2,jobs_density_2022_gross_km2,946.0569098163492,8825.050340288026,9.328244684562545,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:24,U3,population_density_2020_gross_km2,7422.70730305776,87901.14009687192,11.842194028135978,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:24,U2,jobs_density_2022_gross_km2,3653.106225385082,43260.79272640158,11.842194028135978,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:25,U3,population_density_2020_gross_km2,5219.826033138571,96558.01191510794,18.49831992524273,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:25,U2,jobs_density_2022_gross_km2,750.2522155167394,13878.405507250804,18.49831992524273,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:26,U3,population_density_2020_gross_km2,5205.31213561279,17441.598690531762,3.350730606758987,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:26,U2,jobs_density_2022_gross_km2,1056.4351740680397,3539.8296718065385,3.350730606758987,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:27,U3,population_density_2020_gross_km2,3998.4914507936996,20001.533442239004,5.002269903132769,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:27,U2,jobs_density_2022_gross_km2,1249.9560057712936,6252.617307909791,5.002269903132769,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:28,U3,population_density_2020_gross_km2,4606.880801993141,67783.01048215397,14.713428325045447,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:28,U2,jobs_density_2022_gross_km2,10320.178236441609,151845.20278357752,14.713428325045447,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:29,U3,population_density_2020_gross_km2,4186.2736925970785,34778.06522215354,8.307642494482472,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:29,U2,jobs_density_2022_gross_km2,650.5478553880604,5404.519008116288,8.307642494482472,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:30,U3,population_density_2020_gross_km2,6009.543585250541,71410.3003945707,11.882815954581945,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:30,U2,jobs_density_2022_gross_km2,1107.85663537021,13164.456502166604,11.882815954581945,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:31,U3,population_density_2020_gross_km2,4454.889126534793,33726.46074317615,7.5706622062242115,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
CHI:31,U2,jobs_density_2022_gross_km2,2546.776859059512,19280.787314568253,7.5706622062242115,jobs/km2,LODES WAC S000 JT00 2022,extended_business_sensitivity_pending,False
CHI:32,U3,population_density_2020_gross_km2,9853.41139256463,42383.69480736055,4.301423448060153,residents/km2,Census 2020 / TIGER 2022 block geography,constructed_gross_area_allocation,False
