GEOID20,COUNTYFP20,POP20,jobs,wac_row_present,inside_weight,outside_population,outside_jobs
170318381002007,031,136,4.0,True,1.0,0.0,0.0
170310317001003,031,375,6.0,True,1.0,0.0,0.0
170318323001017,031,0,0.0,False,0.9999999999999997,0.0,0.0
170310818003002,031,14,2.0,True,1.0,0.0,0.0
170318391001063,031,535,1365.0,True,0.9999999999999998,1.1879386363489175e-13,3.0309088572266774e-13
170318325002010,031,114,91.0,True,1.0000000000000002,-2.531308496145357e-14,-2.020605904817785e-14
170318366001016,031,39,0.0,False,1.0000000000000002,-8.659739592076221e-15,-0.0
170310202001016,031,584,72.0,True,1.0000000000000004,-2.5934809855243657e-13,-3.197442310920451e-14
170310203013001,031,20,36.0,True,0.9999999999999998,4.440892098500626e-15,7.993605777301127e-15
170310713002007,031,47,1.0,True,1.0,0.0,0.0
170310815001003,031,574,1026.0,True,0.9999999999999998,1.2745360322696797e-13,2.278177646530821e-13
170310513002001,031,65,0.0,False,0.9999999999999999,7.216449660063518e-15,0.0
170310104002005,031,165,4.0,True,0.9999999999999998,3.6637359812630166e-14,8.881784197001252e-16
170310208011005,031,102,0.0,False,0.9999999999999998,2.2648549702353193e-14,0.0
170310404014004,031,87,2.0,True,1.0,0.0,0.0
170312109002006,031,141,0.0,False,1.0,0.0,0.0
170318437001005,031,38,4.0,True,0.9999999999999999,4.218847493575595e-15,4.440892098500626e-16
170312109001034,031,106,18.0,True,0.9999999999997032,3.145683713512426e-11,5.341727060681478e-12
170312206023006,031,46,0.0,False,0.9999999999999998,1.021405182655144e-14,0.0
170310209013012,031,80,8.0,True,1.0,0.0,0.0
170318422001033,031,183,2.0,True,1.0000000000000004,-8.126832540256146e-14,-8.881784197001252e-16
170310818002005,031,534,545.0,True,1.0000000000000007,-3.5571545708990016e-13,-3.630429290524262e-13
170313301011022,031,0,0.0,False,0.9999999999999996,0.0,0.0
170310710001002,031,969,0.0,False,1.0,0.0,0.0
170311407024005,031,143,0.0,False,0.9999999999999994,7.938094626069869e-14,0.0
170312212001004,031,47,0.0,False,1.0000000000000002,-1.0436096431476471e-14,-0.0
170318367002033,031,69,0.0,False,1.0000000000000002,-1.532107773982716e-14,-0.0
170312409001021,031,25,0.0,False,0.9999999999999996,1.1102230246251565e-14,0.0
170310208023014,031,158,1.0,True,0.9999999999999998,3.5083047578154947e-14,2.220446049250313e-16
170310202004017,031,144,6.0,True,1.0,0.0,0.0
170310513002000,031,513,182.0,True,1.0000000000001132,-5.809352998653594e-11,-2.0610180229141406e-11
170310711002010,031,134,64.0,True,0.9999999999999999,1.4876988529977098e-14,7.105427357601002e-15
170312209011005,031,163,0.0,False,1.0000000000000004,-7.238654120556021e-14,-0.0
170318311002007,031,91,1.0,True,1.0,0.0,0.0
170310715006003,031,31,30.0,True,1.0000000000000004,-1.3766765505351941e-14,-1.3322676295501878e-14
170310813001000,031,537,65.0,True,1.0,0.0,0.0
170316309002012,031,243,0.0,False,1.0,0.0,0.0
170315907001000,031,140,70.0,True,1.0000000000000004,-6.217248937900877e-14,-3.108624468950438e-14
170312925003008,031,0,201.0,True,0.9999999999999999,0.0,2.2315482794965646e-14
170318305002000,031,0,0.0,False,1.0000000000000002,-0.0,-0.0
170318447003018,031,28,0.0,False,1.0000000000000633,-1.7719159473017498e-12,-0.0
170317305003011,031,60,0.0,False,1.0,0.0,0.0
170317107003002,031,154,0.0,False,1.0000000000000002,-3.419486915845482e-14,-0.0
170316814004005,031,76,0.0,False,1.0,0.0,0.0
170318340002017,031,33,0.0,False,0.9999999999999998,7.327471962526033e-15,0.0
170317108003003,031,140,0.0,False,0.9999999999999998,3.108624468950438e-14,0.0
170317207002014,031,86,0.0,False,0.9999999999990044,8.562572872961027e-11,0.0
170313006001008,031,83,0.0,False,0.9999999999999997,2.7644553313166398e-14,0.0
170316308004021,031,33,0.0,False,1.0000000000009495,-3.133227011176132e-11,-0.0
170313016001003,031,140,0.0,False,1.0,0.0,0.0
170316812003003,031,51,0.0,False,1.0000000000000002,-1.1324274851176597e-14,-0.0
170317101001004,031,91,0.0,False,1.0000000000000002,-2.020605904817785e-14,-0.0
170318347001013,031,82,0.0,False,1.0000000000000004,-3.6415315207705135e-14,-0.0
170313011001000,031,166,5.0,True,1.0,0.0,0.0
170315302005001,031,26,0.0,False,1.0000000000000002,-5.773159728050814e-15,-0.0
170315103002000,031,5,6.0,True,0.9999999999999903,4.829470157119431e-14,5.795364188543317e-14
170318428004005,031,72,13.0,True,0.9999999999999992,5.595524044110789e-14,1.0103029524088925e-14
170316304002005,031,138,0.0,False,0.9999999999999998,3.064215547965432e-14,0.0
