unit_id,bus_service_access_saturday_am_400m,bus_service_access_saturday_am_800m,bus_service_access_sunday_am_400m,bus_service_access_sunday_am_800m,bus_service_access_weekday_am_400m,bus_service_access_weekday_am_800m,jobs_density_2022_gross_km2,population_density_2020_gross_km2
CHI:01,33.12360766556451,65.22663724561905,26.900374088049784,51.68277098597914,43.82191838863728,86.77790047780465,2662.1603679547397,11655.01748381503
CHI:02,22.12010626075485,50.04343465662305,18.4018423119884,40.90528016314076,34.330037613749504,74.68742712918178,1303.4527304266646,8439.407473237014
CHI:03,62.7325883514454,118.2030583153581,55.354285783863524,104.82420921323295,92.7594311700592,174.22601167322205,2077.671462273085,9462.417716655276
CHI:04,44.936081983030604,93.93041907494592,41.16891912270774,85.35523761843943,63.96671019236303,135.8962942099851,1583.6189743042871,6112.461165143071
CHI:05,38.71767370680169,82.56150725426136,35.652121406528174,75.59652907537357,63.70271308160964,141.65342940037974,2304.8094891226815,6632.962457854063
CHI:06,62.446374298439885,111.47465230128873,53.527118913921335,95.7415519561343,115.91280945612878,214.19559230435883,3374.6043126357313,12724.267031159914
CHI:07,50.1272916881351,95.92525853463394,43.597628342908315,84.122701267052,97.14098975759494,185.32152491488344,3045.2463940721386,8597.710466222738
CHI:08,80.16388789076169,167.40918745633158,68.46799834787495,144.95964490791476,176.48438149464997,374.0641081490692,28597.00728747475,14807.1366216749
CHI:09,4.173574169095045,7.195654416119817,4.173574169095045,7.195654416119817,7.088607453290256,12.101802566312646,914.0025343217652,3923.036825417055
CHI:10,5.750603972825109,12.29429475396926,5.460340979628251,11.481987327006058,11.949893733214822,24.72227337556924,953.7438752980075,3378.504697437999
CHI:11,27.941178090505133,63.30149074138753,23.799011013214173,54.162780230624335,39.39591389056355,91.63195385290003,920.7533533773437,4352.399668820726
CHI:12,7.871240933986084,19.06505674930113,5.5169132856023415,14.395165000713599,14.98934486489661,33.67919697885396,560.0448753798598,2362.1658307394814
CHI:13,28.709526772487624,54.39511425538141,27.43940635430405,50.74649043889596,39.34956911015177,74.99459766546231,1094.3340844531622,2687.7662548178655
CHI:14,39.19881085797186,75.37440762797966,37.88267307219662,72.70011714156004,49.17194455071564,97.06026140947912,1187.0679151363975,9743.24993997146
CHI:15,33.35150018291904,70.31614920590685,30.74710547263734,64.71300763310803,49.277782775138505,104.41552910037205,790.822658439503,6160.809980715247
CHI:16,32.4810053328382,67.40925986691606,29.626327108214017,61.59105279891028,49.90466773100361,103.29480385028471,1332.6202331571815,6242.602717744685
CHI:17,21.5637969011831,43.32645192068363,19.60487537602273,39.30298793835265,32.12385504078894,64.91030347748597,572.0865053966968,4484.123788881198
CHI:18,28.99764845456686,58.50354560358961,25.07993310928804,51.05986623294847,35.20813959419126,74.97935456388501,910.6343530773734,5622.453306429862
CHI:19,36.735749027574585,74.27773727042474,34.448654280728235,69.87383685126443,48.99132122585276,98.54733242905223,950.980455252866,7714.466249555631
CHI:20,26.3644042685145,71.51828979059674,25.275489140395404,67.90700164066558,37.38528853103782,93.4564851614937,1297.159919047758,7966.478609922593
CHI:21,44.46433823350266,91.65102445493294,41.98990791298179,86.81781688519315,70.93924212968373,147.96080922204777,1786.9835887883196,7063.537024885225
CHI:22,41.552975393958604,89.22651499664829,39.5744159399264,85.59344274953571,63.64202693624924,134.24916026383477,2156.18173419055,7717.136676529533
CHI:23,44.931067210920254,87.28840053405371,40.485997524058064,78.36659663056975,59.61891780818724,119.34009362178854,946.0569098163492,5797.148725821499
CHI:24,49.65868002737202,93.3674381205736,44.95676731922022,84.3869225457267,82.43429914799897,160.00166875985158,3653.106225385082,7422.70730305776
CHI:25,37.96522629445628,73.9788507259103,36.8679245340364,71.57359091889639,53.443088979054195,105.63649214358004,750.2522155167394,5219.826033138571
CHI:26,32.252176258972426,64.89871729989468,32.91393793476233,66.15844839133129,46.974664406600525,92.36582387240719,1056.4351740680397,5205.31213561279
CHI:27,38.06763675545677,82.38099174537915,37.421507912905426,81.48427197043635,60.2198819516513,127.01437993234995,1249.9560057712936,3998.4914507936996
CHI:28,52.7040876271728,105.57531822047552,51.22026550159664,101.82040437388828,105.67743673592277,228.33612247704363,10320.178236441609,4606.880801993141
CHI:29,39.67818720110401,77.35727871425145,36.68436048337247,71.705547723372,52.568969279728414,105.36732276035691,650.5478553880604,4186.2736925970785
CHI:30,43.3551948552787,84.30122352650623,42.38020252101607,81.69906881083494,50.3230028122542,102.84257467605316,1107.85663537021,6009.543585250541
CHI:31,44.1040933426281,82.00977666846686,41.917820418841146,76.87445033915117,63.61945119652386,120.26355524281055,2546.776859059512,4454.889126534793
CHI:32,141.85271115839723,283.37183783505895,127.61202095296208,255.7172408906661,269.5814135831365,592.7370588669153,108505.19503624532,9853.41139256463
CHI:33,97.98521802195776,147.21757586501977,89.64913399991194,133.69627547105105,155.14069226528702,240.82399410242894,2802.7245142110996,6233.150247299192
CHI:34,18.467816179632138,58.73527808834529,16.41771457811053,53.82857292793233,35.27775984331416,93.84423525099946,2223.58003432487,5385.316103809775
CHI:35,45.38219395581695,76.86762496471849,42.521377930109225,71.78827247102467,76.85534798906697,138.13274323113512,1503.4345313450626,4751.303609960663
CHI:36,30.317206534680075,55.652630926480576,30.32512778088428,54.54931090382779,44.05425090230432,84.50044964728764,124.79134534079114,4328.70441736754
CHI:37,24.73983393285804,69.44721487595356,23.037084533771715,64.38377413593561,41.30186411531041,98.0500793227211,538.2315210959692,1372.943101507727
CHI:38,35.55375858426098,73.68743963116988,33.41206817583079,68.8341327257521,49.8414292597861,107.30474778638458,714.5691585150937,5462.484057883711
CHI:39,42.93504410591148,75.43654439283608,39.84848501243693,69.39052341469286,63.68929871786127,114.30317200721579,493.6217115383993,7083.872836197324
CHI:40,36.295284122673486,72.93833296834663,27.96136426203594,58.59709032515865,45.70705179976183,97.51303835250908,187.96603177858916,3230.8524508882997
CHI:41,53.43236972829607,91.4299625634136,43.528323489654795,74.47525860024948,77.76120120008451,139.0355517498965,7006.2100797707635,7035.009243149577
CHI:42,48.693328761509655,92.45342996597704,37.050345554678394,72.67832172409175,68.68849403882767,136.81022670618745,506.3961492937464,4550.776166687227
CHI:43,45.05970956603341,87.64300555467813,37.77654802025201,74.26901495988372,62.887960082147444,120.99735172929032,397.26067511735397,7074.802114777027
CHI:44,34.5470992439858,66.12063661202879,30.711997836301702,58.55781265492156,50.69333931527224,99.19504885248354,552.2165377328049,4156.777325123962
CHI:45,25.7888332319738,61.48093019650923,21.97459159384668,53.10750981136847,34.53334267319645,82.25597667038176,886.6566615935807,2907.6302203336527
CHI:46,32.245144797368795,59.4960183128927,28.208114755224713,51.96607069715336,48.6395368392712,87.5397295228038,291.75879751649376,3152.959125019401
CHI:47,23.42996330509749,56.686683920875566,22.495995809783935,53.40431192154902,28.57705074530469,81.34160479464477,1071.8985600496255,1602.0138520112512
CHI:48,32.56660712630321,66.14426875287101,30.508001789946515,61.53226833307653,40.185158190257724,87.32508248611296,553.8926690159973,2887.18756212628
CHI:49,37.100693581788065,81.84780029431626,34.508001491375495,75.91053504556187,52.33969242473541,117.43886936813358,154.7769398064142,3113.778945667233
CHI:50,28.553086498169375,59.2822721207201,27.085113515894385,55.48518041998676,33.72172163637268,76.0200585187695,531.0782614774241,1245.3139140239582
CHI:51,22.871790350536585,47.009187431059324,20.80098657419672,43.33512082643253,37.61887442034492,73.19668125743686,334.5346941177246,500.2637248932109
CHI:52,8.556591650915559,11.895627719892193,7.132779047372841,9.931383934436102,21.09468159788993,31.395561591365336,227.0900149152634,2810.537126269863
CHI:53,17.631077707876056,34.88414422363615,15.895256200337744,31.28588376636182,22.929845274884496,46.672766484267825,121.4807171071416,2828.659882257024
CHI:54,18.553945282048,23.05744868903014,18.553928599073753,23.05705409131609,19.033400870368748,25.78359588462149,82.87373105242247,785.5741412105177
CHI:55,6.9548712071299335,9.613305940416888,5.7966405860400405,8.011088283680742,7.724183900539631,10.989392477439434,142.983538068019,739.2975496751255
CHI:56,17.27825633950021,30.95790194265977,13.549258209038037,23.720799017838157,27.371819274371248,49.91060401289614,957.2502959906943,3241.2324374088225
CHI:57,37.02064882905469,78.19077216594805,35.32149217033348,70.85980218050112,40.87376617893253,84.8474078104068,1880.9315729723612,2735.783606530137
CHI:58,34.71309128973312,71.08836825762722,32.7433409349919,66.94703856974095,48.73954218864167,103.42272611851016,949.4438687990099,6395.652690552515
CHI:59,50.755770002951564,92.07444326330115,47.52055810666348,85.04188816532422,66.54959166809275,130.87538241972476,1840.3062808039604,4355.913843284494
CHI:60,25.945676785744155,54.93393875206955,23.65059880843656,49.06808395979561,42.96140124547748,88.82830336367056,962.4676506235003,6228.35295598715
CHI:61,32.67675700819252,67.33541389506655,30.710107120796987,63.16478117920951,44.67312619564172,96.68928274182917,978.2731850743588,3487.584473140506
CHI:62,37.72869305937689,88.5485394460726,32.954553680333916,74.6543248426705,45.54293363707156,107.14954863506857,506.6446324801259,6018.362294066506
CHI:63,36.64635093075285,74.22469599058512,31.640064161462107,64.76232306416486,53.38941209747216,107.53939742997804,885.4529004146084,6966.6635611537295
CHI:64,13.422282202960849,23.006488570548132,11.282755264728179,17.50467805468344,24.3163652906904,40.95180206123094,914.1343698328791,3706.7624061379197
CHI:65,31.117505584904368,68.7329838615722,27.59175278450908,60.86340816836168,35.881220113825854,80.95010298163123,1100.566486566077,4401.046474101385
CHI:66,30.97815295430409,60.31010660199567,27.46754805334092,52.33359911567734,45.26023359216918,90.17800324602513,434.43479375316645,6129.842568453332
CHI:67,32.41571224911185,70.32467393997376,27.533685451996448,58.91687358418335,47.27399217518729,106.11672925395553,178.39299401404458,3630.6768421659535
