unit_id,window,radius_m,population_weight,weighted_departures,expected_departures_per_resident,population_reached,reach_fraction,support_points,strict_cross_city_accepted
CHI:01,saturday_am,400,55462.221536983525,1837108.8664516646,33.12360766556451,50880.54168901184,0.917390978561569,902,False
CHI:01,saturday_am,800,55462.221536983525,3617614.2050289847,65.22663724561905,55462.221536983525,1.0,902,False
CHI:01,sunday_am,400,55462.221536983525,1491954.5070991484,26.900374088049784,50880.54168901184,0.917390978561569,902,False
CHI:01,sunday_am,800,55462.221536983525,2866441.2940695593,51.68277098597914,55462.221536983525,1.0,902,False
CHI:01,weekday_am,400,55462.221536983525,2430460.945846213,43.82191838863728,53158.003046756625,0.9584542698368043,902,False
CHI:01,weekday_am,800,55462.221536983525,4812895.14081431,86.77790047780465,55462.221536983525,1.0,902,False
CHI:02,saturday_am,400,77116.4204017025,1705823.4137347026,22.12010626075485,73276.93469671291,0.9502118266772555,1715,False
CHI:02,saturday_am,800,77116.4204017025,3859170.545325272,50.04343465662305,77116.42040170252,1.0000000000000002,1715,False
CHI:02,sunday_am,400,77116.4204017025,1419084.2078971346,18.4018423119884,73276.93469671291,0.9502118266772555,1715,False
CHI:02,sunday_am,800,77116.4204017025,3154468.7817101846,40.90528016314076,77116.42040170252,1.0000000000000002,1715,False
CHI:02,weekday_am,400,77116.4204017025,2647409.6130281663,34.330037613749504,75179.5196235382,0.9748834195353608,1715,False
CHI:02,weekday_am,800,77116.4204017025,5759627.0292155035,74.68742712918178,77116.42040170252,1.0000000000000002,1715,False
CHI:03,saturday_am,400,57181.796524658406,3587162.102577507,62.7325883514454,57177.21256776466,0.9999198353816714,702,False
CHI:03,saturday_am,800,57181.796524658406,6759063.229181139,118.2030583153581,57179.05338346043,0.9999520277192271,702,False
CHI:03,sunday_am,400,57181.796524658406,3165257.5064606755,55.354285783863524,57177.21256776466,0.9999198353816714,702,False
CHI:03,sunday_am,800,57181.796524658406,5994036.602089309,104.82420921323295,57179.05338346043,0.9999520277192271,702,False
CHI:03,weekday_am,400,57181.796524658406,5304150.918909382,92.7594311700592,57177.21256776466,0.9999198353816714,702,False
CHI:03,weekday_am,800,57181.796524658406,9962556.348800944,174.22601167322205,57179.05338346043,0.9999520277192271,702,False
CHI:04,saturday_am,400,40488.73556712133,1819405.1408334111,44.936081983030604,40187.63690276439,0.9925633967043059,1125,False
CHI:04,saturday_am,800,40488.73556712133,3803123.8996343743,93.93041907494592,40488.73556712133,1.0,1125,False
CHI:04,sunday_am,400,40488.73556712133,1666877.4799435185,41.16891912270774,40187.63690276439,0.9925633967043059,1125,False
CHI:04,sunday_am,800,40488.73556712133,3455925.6452018013,85.35523761843943,40488.73556712133,1.0,1125,False
CHI:04,weekday_am,400,40488.73556712133,2589931.2140772715,63.96671019236303,40187.63690276439,0.9925633967043059,1125,False
CHI:04,weekday_am,800,40488.73556712133,5502269.120819807,135.8962942099851,40488.73556712133,1.0,1125,False
CHI:05,saturday_am,400,35132.10322817057,1360233.3094219824,38.71767370680169,35132.10322817057,1.0,1047,False
CHI:05,saturday_am,800,35132.10322817057,2900559.395530063,82.56150725426136,35132.10322817057,1.0,1047,False
CHI:05,sunday_am,400,35132.10322817057,1252534.0095574176,35.652121406528174,35132.10322817057,1.0,1047,False
CHI:05,sunday_am,800,35132.10322817057,2655865.063167422,75.59652907537357,35132.10322817057,1.0,1047,False
CHI:05,weekday_am,400,35132.10322817057,2238010.2918976415,63.70271308160964,35132.10322817057,1.0,1047,False
CHI:05,weekday_am,800,35132.10322817057,4976582.904318513,141.65342940037974,35132.10322817057,1.0,1047,False
CHI:06,saturday_am,400,103021.23274674773,6433302.4607901005,62.446374298439885,103021.20989865245,0.9999997782195508,1452,False
CHI:06,saturday_am,800,103021.23274674773,11484256.100093843,111.47465230128873,103021.23274674773,1.0,1452,False
CHI:06,sunday_am,400,103021.23274674773,5514429.775893932,53.527118913921335,103021.20989865245,0.9999997782195508,1452,False
CHI:06,sunday_am,800,103021.23274674773,9863412.707607752,95.7415519561343,103021.23274674773,1.0,1452,False
CHI:06,weekday_am,400,103021.23274674773,11941480.521309264,115.91280945612878,103021.20989865245,0.9999997782195508,1452,False
CHI:06,weekday_am,800,103021.23274674773,22066693.968114838,214.19559230435883,103021.23274674773,1.0,1452,False
CHI:07,saturday_am,400,70489.86532529842,3533466.0402185945,50.1272916881351,70137.96612945515,0.9950078043954358,1090,False
CHI:07,saturday_am,800,70489.86532529842,6761758.5554007795,95.92525853463394,70489.86532529842,1.0,1090,False
