district_id,family,squared_distance_contribution,contribution_fraction
01,M1,0.06528587209766742,0.04022887013876839
02,M1,0.0036251855313069368,0.0009892190376389505
03,M1,1.6862826622703917,0.14209852781216264
04,M1,0.07483435554810035,0.03098186691523363
05,M1,0.06427462276338808,0.02423657054321563
06,M1,0.03669245823802677,0.02037693156315372
07,M1,0.01172347702392974,0.009879366877507352
08,M1,0.060993718174701214,0.21103010757200416
09,M1,0.0020959577843273594,0.005316396926269476
10,M1,0.0,
11,M1,0.13560968359392037,0.03451342233889498
12,M1,0.03675208076561428,0.01165108055012284
13,M1,0.18744844578277137,0.05732395132834483
14,M1,0.00516104927531244,0.011103942784305163
15,M1,0.0007508014765492439,0.0004521841549074421
16,M1,0.050277904709305286,0.022154759028540277
17,M1,0.024175825488857775,0.008436026340308036
18,M1,0.016927744325220286,0.005686580516413835
19,M1,0.06158270562889327,0.02028460839316192
20,M1,0.03264822485931163,0.02219875316552587
21,M1,0.012408393569726148,0.007529609676921916
22,M1,0.09024575226660378,0.03149207284274577
23,M1,0.11519869797018975,0.029698284881724487
24,M1,0.004205084588575109,0.0015521329251768825
25,M1,0.07287835544018977,0.013302912699693834
26,M1,0.0027021191430208385,0.0023865303933307148
27,M1,0.07083941977297868,0.022795640928076677
28,M1,0.0023370285745675126,0.0009071638277313379
29,M1,0.02621128879164575,0.009674195992148468
30,M1,1.1093106726219921,0.1305932095070498
31,M1,0.015840585756640303,0.006020981387524369
32,M1,0.009877132073252706,0.00764682525183772
33,M1,0.14768657716378472,0.028628898611094643
34,M1,0.0033760126926022454,0.0035519097118526695
35,M1,0.044466606988502966,0.03371590543458507
36,M1,0.04494950099884336,0.01582069946718774
37,M1,0.030863317786327064,0.014722777972942247
38,M1,0.031905059871640704,0.015682683996745578
39,M1,0.018539218935606276,0.005583821754836226
40,M1,2.407840275635781e-06,6.086193775217309e-07
41,M1,0.023583022124297557,0.00716150072802991
42,M1,0.48778177783297255,0.09656975782709873
43,M1,0.3901870953265332,0.08319165634912874
44,M1,0.00034999677303759264,0.00010118214243873634
45,M1,0.006499384215409436,0.006351664856208239
46,M1,0.15187119201677604,0.048585883063992114
47,M1,0.3229817300548139,0.08123901479563272
48,M1,0.002603930408941302,0.0032732863752365127
49,M1,1.5575946892891803e-05,2.0672343596066876e-05
50,M1,0.04185408511696778,0.017077645419735152
51,M1,0.3124350141047447,0.08424256472872212
52,M1,9.75632812715446,0.1316077250142746
53,M1,0.012579022567785494,0.018152014858037392
54,M1,0.0029971857908920293,0.0008789984720727985
55,M1,3.232986231224822,0.16172062621850786
56,M1,0.004502438288803498,0.003469943479101866
57,M1,0.7115455472186091,0.14897258834866367
58,M1,0.2986580898680114,0.06831346558764297
59,M1,0.007225115031470968,0.0042574339003364535
60,M1,0.02321947891513306,0.018040452951249893
61,M1,1.0258446565076222,0.11995603883017213
62,M1,0.01371697830981328,0.023470577773265014
63,M1,0.00463850092824808,0.001438970334653343
64,M1,0.10404244753398624,0.03565237385767522
65,M1,0.1354885727460144,0.02752937568062934
66,M1,0.4446073847156763,0.1844297267794627
67,M1,0.06788933585265988,0.017292827397758018
68,M1,0.012922529931215473,0.004679815217301019
69,M1,0.020344147156089308,0.022369386347535915
70,M1,0.023828999369105753,0.020787679022933325
71,M1,0.004095672614484868,0.0029503731182995976
72,M1,0.024836260572664644,0.009233816497470805
73,M1,0.026604573590721596,0.012101460440607456
74,M1,0.0012449846621453132,0.0005206817697112729
75,M1,3.9646688301458363e-05,1.0569231175702113e-05
76,M1,0.11857847543044353,0.03500265460116503
77,M1,0.023889181375995352,0.017649376827493464
78,M1,0.32765209815377344,0.1707706402489298
79,M1,0.2203657986841949,0.07683290830515659
80,M1,0.006158030536339018,0.008592690071611045
81,M1,1.4103058943670734,0.167720878533049
82,M1,0.0029814292132186,0.001224747717218825
83,M1,0.026172957233499765,0.009578607100357793
84,M1,0.05554786682528783,0.019305162776651577
85,M1,0.045627752023265564,0.024362324328748415
86,M1,0.01295617937147325,0.007563590837467448
87,M1,0.1420022651210114,0.040088981314504266
88,M1,0.0657632417584221,0.03289190950108497
