district_id,family_id,feature_name,coverage_fraction,coverage_definition,quality_status,n_entities,n_missing
44,B2,cadastral_floor_count_p90,0.9161159667448305,eligible source records,cadastral_proxy,17190,1574
44,B3,cadastral_floor_area_density,,district source completeness unknown; city fiscal mass located 97.3032%,cadastral_proxy,20564,0
44,U1,land_use_entropy_count,0.9879556597740354,eligible source records,cadastral_proxy,18538,226
44,U2,formal_job_density_area_first_km2,0.9055505418680443,citywide allocated fraction; district missing mass unknown,incomplete_geographic_proxy,196,0
44,U3,population_density_km2,0.9994809179733173,citywide source population within district union,area_allocated_proxy,275,0
45,M1,street_density_km_km2,1.0,eligible source records,computed,1178,0
45,M6,street_class_model_share_arterial,0.8180237181562926,eligible source records,assumed_local_residual,1178,0
45,M6,street_class_model_share_coletora,0.8180237181562926,eligible source records,assumed_local_residual,1178,0
45,M6,street_class_model_share_local,0.8180237181562926,eligible source records,assumed_local_residual,1178,0
45,M6,street_class_model_share_rodovia,0.8180237181562926,eligible source records,assumed_local_residual,1178,0
45,M6,street_class_model_share_via_de_pedestres,0.8180237181562926,eligible source records,assumed_local_residual,1178,0
45,M6,street_class_model_share_vtr,0.8180237181562926,eligible source records,assumed_local_residual,1178,0
45,M2,intersection_density_proxy_5m_km2,1.0,eligible source records,approved_proxy,495,0
45,M3,block_log_area_median,1.0,eligible source records,computed,276,0
45,M3,block_log_area_iqr,1.0,eligible source records,computed,276,0
45,M4,block_compactness_median,1.0,eligible source records,computed,276,0
45,M4,block_compactness_iqr,1.0,eligible source records,computed,276,0
45,M4,block_elongation_median,1.0,eligible source records,computed,276,0
45,M4,block_elongation_iqr,1.0,eligible source records,computed,276,0
45,M7,cadastral_parcel_density_km2,1.0,eligible source records,cadastral_proxy,7558,0
45,B2,cadastral_floor_count_median,0.9587192378936227,eligible source records,cadastral_proxy,7246,312
45,B2,cadastral_floor_count_p90,0.9587192378936227,eligible source records,cadastral_proxy,7246,312
45,B3,cadastral_floor_area_density,,district source completeness unknown; city fiscal mass located 97.3032%,cadastral_proxy,94195,0
45,U1,land_use_entropy_count,0.987430537179148,eligible source records,cadastral_proxy,7463,95
45,U2,formal_job_density_area_first_km2,0.9055505418680443,citywide allocated fraction; district missing mass unknown,incomplete_geographic_proxy,361,0
45,U3,population_density_km2,0.9994809179733173,citywide source population within district union,area_allocated_proxy,357,0
46,M1,street_density_km_km2,1.0,eligible source records,computed,4412,0
46,M6,street_class_model_share_arterial,0.7829781116217722,eligible source records,assumed_local_residual,4412,0
46,M6,street_class_model_share_coletora,0.7829781116217722,eligible source records,assumed_local_residual,4412,0
46,M6,street_class_model_share_local,0.7829781116217722,eligible source records,assumed_local_residual,4412,0
46,M6,street_class_model_share_rodovia,0.7829781116217722,eligible source records,assumed_local_residual,4412,0
46,M6,street_class_model_share_via_de_pedestres,0.7829781116217722,eligible source records,assumed_local_residual,4412,0
46,M6,street_class_model_share_vtr,0.7829781116217722,eligible source records,assumed_local_residual,4412,0
46,M2,intersection_density_proxy_5m_km2,1.0,eligible source records,approved_proxy,2145,0
46,M3,block_log_area_median,1.0,eligible source records,computed,704,0
46,M3,block_log_area_iqr,1.0,eligible source records,computed,704,0
46,M4,block_compactness_median,1.0,eligible source records,computed,704,0
46,M4,block_compactness_iqr,1.0,eligible source records,computed,704,0
46,M4,block_elongation_median,1.0,eligible source records,computed,704,0
46,M4,block_elongation_iqr,1.0,eligible source records,computed,704,0
46,M7,cadastral_parcel_density_km2,1.0,eligible source records,cadastral_proxy,30166,0
46,B2,cadastral_floor_count_median,0.9045945766757276,eligible source records,cadastral_proxy,27288,2878
46,B2,cadastral_floor_count_p90,0.9045945766757276,eligible source records,cadastral_proxy,27288,2878
46,B3,cadastral_floor_area_density,,district source completeness unknown; city fiscal mass located 97.3032%,cadastral_proxy,46814,0
46,U1,land_use_entropy_count,0.9873698866273288,eligible source records,cadastral_proxy,29785,381
46,U2,formal_job_density_area_first_km2,0.9055505418680443,citywide allocated fraction; district missing mass unknown,incomplete_geographic_proxy,509,0
46,U3,population_density_km2,0.9994809179733173,citywide source population within district union,area_allocated_proxy,609,0
47,M1,street_density_km_km2,1.0,eligible source records,computed,1865,0
47,M6,street_class_model_share_arterial,0.7343282936716782,eligible source records,assumed_local_residual,1865,0
47,M6,street_class_model_share_coletora,0.7343282936716782,eligible source records,assumed_local_residual,1865,0
47,M6,street_class_model_share_local,0.7343282936716782,eligible source records,assumed_local_residual,1865,0
47,M6,street_class_model_share_rodovia,0.7343282936716782,eligible source records,assumed_local_residual,1865,0
47,M6,street_class_model_share_via_de_pedestres,0.7343282936716782,eligible source records,assumed_local_residual,1865,0
47,M6,street_class_model_share_vtr,0.7343282936716782,eligible source records,assumed_local_residual,1865,0
47,M2,intersection_density_proxy_5m_km2,1.0,eligible source records,approved_proxy,844,0
