unit_id,gross_area_km2,road_length_km,road_density_km_km2,connector_3arm_candidates,strict_cross_city_accepted,share_motorway,share_trunk,share_primary,share_secondary,share_tertiary,share_residential,share_living_street,share_unclassified,share_unknown
SP:01,7.175997455265782,151.715109644825,21.142023891535203,1106,False,0.0,0.06509455834315772,0.03886855387360209,0.10463835768468482,0.11146018996009241,0.6623119737044422,0.0025448925334451314,0.0,0.015081473900575721
SP:02,7.46107266067706,126.55643097149697,16.962230060900186,1011,False,0.036350373473210615,0.10595337874576041,0.001220816217148127,0.04052885873538264,0.12311444049415722,0.6781523991410477,0.0,0.0,0.014679733193293276
SP:03,33.245932856960465,207.44535971268812,6.2397214301435,856,False,0.2085058264397234,0.0,0.0,0.045990970599482,0.008223006079774465,0.6102593904080644,0.0017939090137074553,0.10336170995624448,0.02186518750300359
SP:04,6.958317450714775,154.27092042762825,22.170721804562277,1109,False,0.0,0.04265067688505647,0.014398259174763657,0.13083823035599806,0.031848853892515176,0.7559015200093012,0.010843267751941624,0.0,0.013519191930423701
SP:05,6.504243062666554,135.1807273300847,20.783467965089308,828,False,0.0,0.053885663105123785,0.06170856119071429,0.08129969005549897,0.04988269388390355,0.7226611705956877,0.007053375475448991,0.0005023317970242759,0.023006513896598437
SP:06,5.853110569441183,88.63112863252489,15.142568653198502,492,False,0.06285381413320032,0.14478143436720842,0.22246269689458598,0.0399127172488105,0.22503465498949007,0.22770390958476058,0.006164560238129777,0.023049120064261536,0.04803709247955282
SP:07,2.7177486924887213,51.85011098243841,19.078331681564624,288,False,0.0,0.019435375316675663,0.1387258119193393,0.20635059519545013,0.11002649797920967,0.49288713185332483,0.008182028078327998,0.0,0.024392559657672466
SP:08,6.045899566295779,90.54848075441204,14.97684170263013,539,False,0.05295366076381961,0.12578161936117874,0.006250612120403618,0.15217497071927238,0.22205419781466426,0.3880380563022209,0.005699646049427441,0.004087895191728789,0.04295934167728418
SP:09,4.205433489498227,71.51027832693401,17.004258539698434,377,False,0.06237141844224782,0.2429361472574397,0.022205813002990755,0.11062596987034115,0.16103454207458381,0.37851141113045983,0.0014619575696893916,0.0,0.020852740652247577
SP:10,3.6292729218556445,65.33657261282296,18.00266169550468,397,False,0.0,0.05719039849081847,0.13781247799052596,0.11544169102007475,0.22355253931827615,0.4140696233001902,0.019529091051285984,0.0,0.032404178828828484
SP:11,21.055423831818207,239.92463461583336,11.394908814576688,1474,False,0.02935408588278906,0.0,0.02672354817147853,0.03651470414381386,0.10172731120271931,0.7933364977991445,0.0007064520675053327,0.003534300067806103,0.008103100664743318
SP:12,12.945536184724103,195.28167278468328,15.084865547331916,1229,False,0.0809512689302502,0.05313121399602182,0.05576254531110374,0.14386179233205384,0.14349767395421786,0.4692232319213233,0.0053698251865258876,0.027419420466149095,0.020783027902354246
SP:13,13.570544254842227,158.45524454302296,11.676410434790272,1014,False,0.029133102476088444,0.0,0.02654196826685674,0.10627080859578343,0.061747859223055805,0.7509051223662727,0.0024953137996562994,0.0107639636643225,0.012141861607964259
SP:14,3.924177638119789,66.1155187556026,16.84824818156827,456,False,0.0,0.076989285980144,0.08916922354526297,0.10859305776683002,0.09642635013925983,0.594118265265224,0.0023953471802865374,0.0,0.03230847012299265
