unit_id,district_id,district_name,gross_area_m2,water_area_m2,land_area_m2,b3_unavailable,block_compactness_iqr_experimental,block_compactness_median_experimental,block_elongation_iqr_experimental,block_elongation_median_experimental,block_log_area_iqr_experimental,block_log_area_median_experimental,building_coverage_municipal_gross,building_coverage_municipal_land,building_stories_coverage,building_stories_median_municipal,building_stories_p90_municipal,footprint_overlap_excess_fraction,land_use_entropy_cmap_area8,land_use_share_agriculture,land_use_share_commercial,land_use_share_industrial,land_use_share_institutional,land_use_share_open_space,land_use_share_residential,land_use_share_transport_utilities,land_use_share_vacant_construction,lui_ambiguous_gross,lui_classified_land,lui_coverage_gross,lui_overlap_gross,lui_secondary_use_area_fraction,m2_unavailable,m7_unavailable,population_density_acs_label2023,road_share_code_1,road_share_code_2,road_share_code_3,road_share_code_4,road_share_code_7,road_share_code_9,road_share_code_99,street_density_municipal_km_km2,u2_unavailable,u4_unavailable
CHI:01,01,ROGERS PARK,4758656.228015077,0.0,4758656.228015079,,0.10133207459008575,0.7341877937479021,0.6972247631833437,1.5851560778076037,0.4145013932564723,9.938330498496036,0.2983854617498203,0.2983854617498209,0.5602172691515265,2.0,3.0,7.855723491118054e-12,0.5994296493204544,0.0,0.09849481023893242,0.060649097310410266,0.0979788450386402,0.0601200611885993,0.6327268941084289,0.046741683460349334,0.0032886086546397102,9.189644035587267e-06,0.6989649128313821,0.998935101579371,1.0733174358291518e-05,0.0017508312478524911,,,11173.112209069526,0.0,0.062047238620365576,0.18277407867935466,0.7551786827002797,0.0,0.0,0.0,12.57694314994901,,
CHI:02,02,WEST RIDGE,9137658.14084154,0.0,9137658.140841523,,0.007823749681558523,0.6999881385786493,0.08242509748851723,1.9881044786247242,0.038535545803929594,9.914305716264018,0.24933729341026395,0.24933729341026448,0.5410527641354993,2.0,3.0,0.0003398462943667485,0.5237582226902968,0.0,0.09948594206249897,0.002032455176062189,0.1019582876343645,0.11569812615286312,0.6607933793583011,0.013690171080367962,0.006341638535542128,5.2007163088345655e-09,0.7195851519724427,0.9999999900797868,1.207962151620327e-08,0.0024528896151045014,,,8669.617398567307,0.0,0.11240809690996324,0.10430431798059946,0.7832875851094374,0.0,0.0,0.0,13.100825940063528,,
CHI:03,03,UPTOWN,6043042.934366598,0.0,6043042.934366607,,0.20624653410670724,0.6995809127918955,1.430421496387548,1.8232313497878718,0.6242629755529006,10.113794677304583,0.2192923860184183,0.21929238601841797,0.5488688776630792,2.0,3.0,0.0011266007590684365,0.5817337140126316,0.0,0.10780052507920732,0.008680692578901077,0.28273717879001625,0.02972687774655364,0.5368805336814169,0.0271437091116278,0.007030483012277152,5.000168449449525e-07,0.5608811487896196,0.9928257129241307,5.087979288005161e-07,0.0038217738816537375,,,8716.469595217435,0.0756252151734285,0.1013428452323545,0.1586659517482063,0.6179547937517891,0.0,0.046411194094221585,0.0,10.91164909525991,,
CHI:04,04,LINCOLN SQUARE,6623966.103541163,25726.06601305923,6598240.037528106,,0.057083802105178716,0.6999734555810482,0.6434295986791576,1.9614237864500201,0.370298287876091,9.923366659267025,0.22812783145766227,0.229012722238174,0.5260273972602739,2.0,3.0,7.552686612537399e-07,0.6367925296330533,0.0,0.07520619510651483,0.031863449904792535,0.31558415019683445,0.06785782192729928,0.47705652277075683,0.0298722300364184,0.0025596300573835404,1.0530761098804888e-09,0.7462456838519694,0.9999999986520812,5.181695623012581e-07,0.002283852681195021,,,6367.786208545154,0.0,0.06351665726171703,0.13606691850696925,0.8004164242313135,0.0,0.0,0.0,11.241984678390375,,
CHI:05,05,NORTH CENTER,5296593.106232864,58642.73924493557,5237950.366987928,,0.005835274545513136,0.6973922809981465,0.060522370821039395,2.0020252696784686,0.07003854252455533,9.920132083600539,0.3002630241444954,0.3036204041046794,0.47104125736738706,2.0,3.0,6.065669591192122e-07,0.62914414657023,0.0,0.12670487996282725,0.08272628884426628,0.08480242350320706,0.04813127563290695,0.6047562760161868,0.042996144306325375,0.009882711734280292,3.890387399122191e-06,0.7037913952964343,0.9999999674915362,3.891590729060499e-06,0.0002669330874788381,,,6755.663363661609,0.0,0.10491190609886664,0.1232686388140666,0.7718194550870666,0.0,0.0,0.0,13.543280911303558,,
CHI:06,06,LAKE VIEW,8096437.499658218,574.4910153837258,8095863.008642855,,0.05085414162044288,0.6979654332928159,0.32999553291917394,1.991795645077717,0.2360675368692995,9.922561492541686,0.328630581301311,0.3286539012754916,0.4985137143629239,2.0,3.0,2.9982330774904054e-05,0.5093244914549311,0.0,0.16822410504064408,0.007104812655840426,0.0737634283591771,0.04598099406257164,0.6741966621620806,0.022929411594952747,0.007800586124733247,3.5473299471303684e-07,0.6440797238031156,0.9940523046055386,4.0509365021922773e-07,0.008310697050413807,,,11196.529338221506,0.049332804638677105,0.08610970610478587,0.2101161858418734,0.6435376164121223,0.0,0.010903687002541487,0.0,13.718296657561133,,
CHI:07,07,LINCOLN PARK,8198678.660118646,3903.016043635414,8194775.644075,,0.1575659960266378,0.6834193118436123,0.5575881005479952,2.0033628022978016,0.3469511888652459,9.919138026857164,0.2913457224315989,0.2914844848673613,0.49245459971012023,2.0,3.0,7.144866096597278e-06,0.6760150795376085,0.0,0.22359967191647756,0.010147073911717253,0.0660219171759513,0.14635416053171865,0.492173294393648,0.030162287590718873,0.031541594479768474,1.663018335360233e-06,0.7020311680273519,0.9981498070514739,1.6995679581956936e-06,0.001803541155082126,,,7570.366222781296,0.04760530936248463,0.0830332364099938,0.17507503227110602,0.6766644537470818,0.0,0.017621968209333542,0.0,12.410035386925696,,
CHI:08,08,NEAR NORTH SIDE,7118003.341570558,4955.315523597593,7113048.026046962,,0.16377884756737593,0.7422351668777524,1.0125608220932043,1.4622448744659353,0.7258373612717506,9.368020003453543,0.3330424423197149,0.3332579226151222,0.5381448957189902,3.0,19.0,0.003090451609507896,0.7815874659844172,0.0,0.2740165152611632,0.07237273150114949,0.1042111207564676,0.04662244482009403,0.3835591787451413,0.07004596592202747,0.049172042993956805,3.28286745970706e-05,0.606340789257006,0.9970089398230484,3.5808198599844815e-05,0.033110729660426455,,,12873.694434060368,0.08181587100418852,0.05831166048290148,0.11713762946087168,0.694847045935901,0.01982964828291791,0.028058144833219393,0.0,14.359582837851018,,
CHI:09,09,EDISON PARK,2937112.005044956,0.0,2937112.005044952,,0.051368707069573416,0.6979140486226293,0.24000115820906998,2.00761817392646,0.27624339659404207,9.922027951446577,0.23324217065171315,0.23324217065171354,0.5195038110895233,1.0,2.0,5.0281126578455395e-06,0.345038875551946,0.0,0.05996014255489608,0.017759080438061882,0.020288018455093506,0.039971841459573554,0.8289967785080256,0.03280783764517296,0.0002163009391763495,7.400091993472355e-09,0.6969432414778767,0.9999999954647701,7.655060718468482e-09,0.0,,,3880.682786499842,0.0,0.08902419361100113,0.09231930482407773,0.8186565015649212,0.0,0.0,0.0,14.836878285055777,,
CHI:10,10,NORWOOD PARK,11322618.219300324,0.0,11322618.219300326,,0.12190408754102611,0.6927196381223416,0.6857896161356416,2.0116273446055475,0.548707372822312,9.908284243193448,0.20784637866671143,0.20784637866671143,0.5202723479024819,1.0,2.0,1.1780903863646973e-08,0.46744562388702915,0.0,0.05714971549255517,0.007144295035360051,0.10069766116827153,0.056103662977808354,0.7334526568066599,0.04187733153006818,0.0035746769892768078,1.1646309104504723e-08,0.7084352975935002,0.999999943002048,2.420234936037223e-08,0.010079679853798306,,,3539.2874001254063,0.049380338616938836,0.07414669891939178,0.12540620689897708,0.7172435978115882,0.0,0.03382315775310414,0.0,14.574803298994977,,
