district_id,block_area_iqr,block_area_median,block_area_p25,block_area_p75,block_compactness_iqr,block_compactness_median,block_elongation_iqr,block_elongation_median,block_log_area_iqr,block_log_area_median,building_coverage_gross,building_coverage_land,bus_service_access_saturday_am_400m,bus_service_access_saturday_am_800m,bus_service_access_sunday_am_400m,bus_service_access_sunday_am_800m,bus_service_access_weekday_am_400m,bus_service_access_weekday_am_800m,cadastral_floor_area_density,cadastral_floor_count_median,cadastral_floor_count_p75,cadastral_floor_count_p90,cadastral_parcel_density_km2,footprint_overlap_excess_fraction,formal_job_density_address_first_business_prior_km2,formal_job_density_address_first_km2,formal_job_density_address_first_located_jobs_prior_km2,formal_job_density_area_first_business_prior_km2,formal_job_density_area_first_km2,formal_job_density_area_first_located_jobs_prior_km2,formal_job_density_area_mixed_km2,formal_job_density_equal_workplace_km2,formal_job_density_hybrid_km2,formal_job_density_residential_first_km2,intersection_density_proxy_0m_km2,intersection_density_proxy_10m_km2,intersection_density_proxy_20m_km2,intersection_density_proxy_5m_km2,land_use_count_share_commerce_services,land_use_count_share_industry_warehouse,land_use_count_share_institutional,land_use_count_share_mixed_other,land_use_count_share_residential,land_use_count_share_transport_utilities,land_use_count_share_vacant,land_use_entropy_count,land_use_entropy_land_area,land_use_land_area_share_commerce_services,land_use_land_area_share_industry_warehouse,land_use_land_area_share_institutional,land_use_land_area_share_mixed_other,land_use_land_area_share_residential,land_use_land_area_share_transport_utilities,land_use_land_area_share_vacant,parcel_log_area_iqr,parcel_log_area_median,population_bus_service_reach_saturday_am_400m,population_bus_service_reach_saturday_am_800m,population_bus_service_reach_sunday_am_400m,population_bus_service_reach_sunday_am_800m,population_bus_service_reach_weekday_am_400m,population_bus_service_reach_weekday_am_800m,population_density_km2,street_class_imputed_share,street_class_model_share_arterial,street_class_model_share_coletora,street_class_model_share_local,street_class_model_share_rodovia,street_class_model_share_via_de_pedestres,street_class_model_share_vtr,street_class_observed_share_arterial,street_class_observed_share_coletora,street_class_observed_share_local,street_class_observed_share_rodovia,street_class_observed_share_via_de_pedestres,street_class_observed_share_vtr,street_density_km_km2,district_name
01,10042.232916973051,11082.722474071717,6568.827323297052,16611.060240270104,0.23964927183083817,0.6405600996890568,1.3036878631646027,1.9825385015369896,0.927742233791859,9.313142052401101,0.4999724642304542,0.5004894456954392,153.20068623785184,337.8962848907832,131.51941795128252,293.64791040900997,199.2760610417696,445.9018113229826,0.8763958303611664,2.0,2.0,2.0,2901.617528406551,0.008124237392925015,4435.1799629214365,3848.7056561794566,4209.826454627683,4341.831214947576,3755.3569082055947,4116.477706653822,3748.124695471594,4057.5490844684923,3802.0312821925254,3525.575441193411,119.14719944230147,118.45043219410088,118.31107874446076,118.72913909338112,0.06467444120505345,0.03206997084548105,0.007142857142857143,0.09402332361516035,0.7811467444120506,0.003012633624878523,0.01793002915451895,0.4252687367509856,0.624791333153106,0.11063842236202324,0.07683071488713027,0.032165799092503604,0.1011924186383109,0.6407588097556451,0.010265633966796296,0.028148201297590575,0.8211020472716548,5.138325055280947,1.0,1.0,1.0,1.0,1.0,1.0,11990.173578440792,0.0831826242491901,0.14182957294198614,0.278436898147532,0.5780042802945604,0.0,0.0017292486159214845,0.0,0.14182957294198614,0.278436898147532,0.49482165604537026,0.0,0.0017292486159214845,0.0,22.883473792856876,AGUA RASA
02,9326.999855577496,12986.131336333397,9453.35052857797,18780.350384155467,0.18613405700049335,0.6427154205481556,1.174838114767691,2.1117699878960496,0.6864377827934653,9.47160603032453,0.29528831321777355,0.3015278290852829,75.52870102137014,159.8102065888916,67.1720766251654,142.51065936026563,100.38229622046599,220.53121172776767,0.6802295355850322,2.0,2.0,2.0,1156.5361165128977,0.010856900158277278,4530.958514319613,4241.112446012919,4478.774707104297,3413.050300354222,3123.2042320475275,3360.866493138906,3128.3275277368293,5798.049239576906,3682.1583390302235,4147.061733248425,104.81066671840144,103.336347877094,103.336347877094,104.14052179053442,0.06591469862530842,0.0014099400775467042,0.007754670426506873,0.03360357184819645,0.8612383973681118,0.0028198801550934085,0.027258841499236283,0.29991889455022763,0.5655497035497946,0.073138973672813,0.0013123259973087723,0.02853663218488387,0.17133266986031662,0.6483591537785708,0.004767154593218852,0.07255308991288811,1.203570646424037,5.836685639732208,0.9915662585007322,1.0,0.9732533094469223,1.0,0.991741698419513,1.0,4938.885460848965,0.2357243920168507,0.0886150114305632,0.17326021808110736,0.7337402372940025,0.0,0.004384533194326901,0.0,0.0886150114305632,0.17326021808110736,0.4980158452771518,0.0,0.004384533194326901,0.0,19.496300699071348,ALTO DE PINHEIROS
03,8877.71305628297,5678.781952466229,3044.277856261619,11921.990912544588,0.27693644031505693,0.5423493912320482,1.6082703298501513,2.4992796763492153,1.3651219918032425,8.644467735333773,0.06501524129823776,0.06536752980009757,40.93889464169183,77.10518190382855,37.43582968442418,70.40898231793376,59.96594403171606,113.98158466652728,0.05014816388851656,2.0,2.0,2.0,279.13188779893454,0.000503004114531369,447.2672455640146,397.9018135076814,446.5566421050312,402.104791786293,352.7393597299598,401.39418832730956,347.18660149676504,376.48840798620574,375.3205866188206,356.13605771106756,27.43192690437805,26.409245418907815,26.04829901227126,27.040901630521784,0.012141763290308466,0.007219426821264493,0.0042660249398381095,0.06552176766571866,0.7772916210894771,0.0004375410194705754,0.13312185517392255,0.3898753090016158,0.8172462445070812,0.051337330870532584,0.24763371446350263,0.08093594094964321,0.06483683822496397,0.3106836475824571,0.0005224466135326628,0.2440500812953677,1.035388528054395,4.811643168187134,0.9613833983855669,0.9838691328197662,0.9522313375796088,0.983797213863752,0.9613833983855669,0.9838691328197662,2266.256178009396,0.6715612087322411,0.01059586016019558,0.03683114355459211,0.8926118501271568,0.05362006765696472,0.006341078501090677,0.0,0.01059586016019558,0.03683114355459211,0.22105064139491576,0.05362006765696472,0.006341078501090677,0.0,6.396344535462436,ANHANGUERA
04,5645.902092807907,6953.359434716616,5201.429478741357,10847.331571549264,0.18477414377346968,0.6403375053530738,1.3350325559375762,2.283053052710448,0.7349448906067391,8.846979112166931,0.4746402809433178,0.47854422914555855,216.56395707476977,440.6532983158485,203.56706787363134,412.2766566235436,264.531071307017,535.807324589144,0.579532484134847,2.0,2.0,2.0,3004.8930863095616,0.0009378870256669474,3102.928078130634,2666.4068823505895,2981.589592534291,2942.2584811364645,2505.7372853564198,2820.9199955401227,2499.3490006568477,2618.0550775909214,2586.0720838535044,2488.385115157075,157.36562865316228,156.07221252724585,152.76681576101507,157.36562865316228,0.04612778315585673,0.027250726040658278,0.006243949661181026,0.0803484995159729,0.8122942884801548,0.001936108422071636,0.02579864472410455,0.38526263396293187,0.6546938834298788,0.10989274152283829,0.08575812794993388,0.026996701080454308,0.0964630917865908,0.6152959721965245,0.005991647970943757,0.05960171749271458,0.5824263521221962,4.963122155642366,0.9907360069276514,1.0,0.9907360069276514,1.0,0.9907360069276514,1.0,13044.148816767272,0.09818905900394048,0.08758241474334817,0.20934732335215048,0.692423034377686,0.0,0.010647227526815283,0.0,0.08758241474334817,0.20934732335215048,0.5942339753737456,0.0,0.010647227526815283,0.0,23.224739294345703,ARICANDUVA
05,5608.971775199692,8247.869595571241,6069.520282032901,11678.492057232594,0.18044050327789019,0.655013432567393,1.2188911076025752,2.2465798232690424,0.6544686424440673,9.017709723697315,0.3925188494573053,0.39322044148237556,195.54066729911966,500.7247836354655,177.41669213130498,463.0483800945517,263.3359993790645,675.4839451387779,0.48979938938257694,1.0,2.0,2.0,2123.229385332702,0.0004797928813098658,1813.1773371760905,1579.7529589750638,1725.4089952683748,1621.9768110466284,1388.5524328456024,1534.2084691389132,1493.3761616070099,1564.7157660947357,1484.1526959103333,1882.8658633808898,134.22007627772982,127.60900722854039,124.53409139170809,129.6077025224814,0.0391156462585034,0.006137237503697131,0.00968648328896776,0.09723454599230996,0.826234841762792,0.0018485655131617864,0.01974267968056788,0.3476049797855287,0.5421975471611685,0.06195286820786271,0.011737869561578637,0.05040954708201483,0.11587950568789891,0.7029000714961368,0.005872991208233612,0.05124714675627451,0.7697808832077211,5.381942213594325,1.0,1.0,1.0,1.0,1.0,1.0,14737.14333711091,0.16330439441740563,0.0854565169885954,0.2485317240011117,0.6509622453692094,0.0,0.015049513641083612,0.0,0.0854565169885954,0.2485317240011117,0.48765785095180375,0.0,0.015049513641083612,0.0,22.846216702640934,ARTUR ALVIM
06,20435.018257998123,15700.919052052313,10093.612149363875,30528.630407361998,0.19450552692304257,0.6754351413274307,1.3147469582438456,1.8471767196269626,1.1065791315484592,9.661474527970379,0.30500393469236226,0.31284530841888625,345.02540437283403,758.5112821332815,316.5225737700182,709.2440007735858,462.1574712126551,1023.250317636246,1.0371221325270839,2.0,2.0,5.0,406.7922469175774,0.01679588964276929,20830.599680546246,18930.973282417144,21315.72863287887,20747.33579338055,18847.709395251448,21232.464745713172,18899.692942808848,18707.87313871883,18889.341338834296,19010.01436378883,72.09841587535392,62.18915492566072,59.284716371440304,68.8522786676958,0.3453111305872042,0.07186678352322524,0.024101665205959685,0.11481156879929887,0.3764241893076249,0.014022787028921999,0.05346187554776512,0.7599964194296367,0.8307308814346789,0.4274848249967131,0.11586812544544745,0.04613236356855975,0.17044615369486232,0.11765469245283657,0.01800446242388683,0.1044093774176941,1.9739945287226597,5.6193219262973235,0.9914108674127068,1.0,0.9914108674127068,1.0,0.9914712495442424,1.0,5689.1345385064005,0.40223107383323864,0.20633621520112186,0.2287006186489646,0.5569496058052058,0.0,0.002161797659804581,0.005851762684903303,0.20633621520112186,0.2287006186489646,0.154718531971967,0.0,0.002161797659804581,0.005851762684903303,15.858794750394875,BARRA FUNDA
07,15718.795227389808,15025.341264082173,8974.991633705555,24693.786861095363,0.22462777579305793,0.6621269035903906,1.3543896900867087,1.8277395063856483,1.01210966570995,9.617493472229143,0.46180918832251405,0.46180918832251394,407.242292368731,960.6767966093856,368.1557082229659,867.425848168953,559.6602790695546,1321.6304564629083,3.0197681716055365,2.0,4.0,14.0,1363.6286571464811,0.04416248343797745,50563.89244197492,46132.29015423813,48855.48380294491,52018.49983822076,47586.897550483984,50310.09119919076,50277.864644040084,42685.30554497351,46859.59385236105,47518.83627155821,65.86333773049653,50.409370218312986,48.937563788581215,54.824789507508285,0.27615405626877904,0.006009287080032778,0.03523627424201038,0.22862605845397432,0.3791313848675225,0.02376399890740235,0.051078940180278615,0.7450798509171545,0.7918769863985092,0.28536407746004444,0.00651679094975103,0.10364732338291661,0.23759639666483084,0.30623378239707144,0.02630339999628607,0.03433822914909965,1.3237651406964428,5.458249178438203,0.9902677433745675,1.0,0.9902677433745675,1.0,0.9902677433745675,1.0,21947.775264254822,0.1538797787678673,0.23302772697595128,0.481169297704338,0.28081288692682893,0.0,0.004990088392881957,0.0,0.23302772697595128,0.481169297704338,0.12693310815896142,0.0,0.004990088392881957,0.0,20.280280944597823,BELA VISTA
08,12108.922702638025,12438.386484154302,7133.853768556649,19242.776471194673,0.18775670889890494,0.7167288233418055,0.8129207621207803,1.6702372984186271,0.9922841531536726,9.428542654034782,0.44220011885864835,0.4470904414507532,333.47896709983263,735.0654358933524,310.485747735204,674.2596493962735,435.1201967796478,964.375463180673,0.8645508056690049,2.0,2.0,3.0,1733.4062342720854,0.009459663598573545,7645.556094459703,6396.436562736101,6966.157586315654,7760.313288923042,6511.193757199439,7080.914780778993,6495.1552351851215,6313.562811969351,6453.815159967771,6659.782796672006,72.61119626387838,67.48375415868423,65.99514193459562,71.4533867562539,0.16925002406854722,0.04707807836718975,0.013959757389043998,0.14402618657937807,0.5994993742177722,0.007701935111196688,0.01848464426687205,0.6173086867441625,0.9116643137907205,0.19600691642240617,0.16816882578594877,0.07499803839529988,0.21716267238555406,0.23422598046800902,0.016731348189013322,0.09270621835376876,0.9290148698322689,4.974531291877609,0.9924912861699405,1.0,0.9924912861699405,1.0,0.9924912861699405,1.0,9185.643233152434,0.21121886844444104,0.11938293881820566,0.3867683881216082,0.493720051039406,0.0,0.00012862202078008984,0.0,0.11938293881820566,0.3867683881216082,0.282501182594965,0.0,0.00012862202078008984,0.0,15.154092704359762,BELEM
09,11082.462616187624,14321.054951123591,8249.696371760578,19332.1589879482,0.20667136050308976,0.7177910348863711,1.0299637134454704,1.6571174277010332,0.8516189946593364,9.56946842520735,0.4141232485414536,0.4316951290924414,201.94090702029422,455.03043297614096,198.19867261694816,441.2186401859328,282.0192557116509,630.0998758157842,0.9538472749099811,2.0,3.0,4.0,1541.5771088020517,0.0028868981481309747,19085.44459960184,17343.535588479128,19398.405164512813,17162.098938884523,15420.18992776181,17475.059503795495,15457.94834836646,17220.511713599222,16381.862758120467,16332.969415346575,78.94548821876927,73.23858545596667,69.43398361409827,75.85424922225118,0.3420888055034397,0.07379612257661038,0.012038774233896186,0.19840525328330205,0.34677923702313945,0.010318949343339587,0.01657285803627267,0.727589076365738,0.8281568101439377,0.3843331481794335,0.11024967441134516,0.07077167500530616,0.23605487733313776,0.14431311504996738,0.019064696173952185,0.03521281384685784,1.1055064197028432,5.065827843530419,0.9185662073283773,1.0,0.9185662073283773,1.0,0.9185662073283773,1.0,7919.240370975271,0.24909074911493367,0.2203400479066893,0.3274823317080281,0.44565875849253656,0.0,0.002645149341945964,0.0038737125508000823,0.2203400479066893,0.3274823317080281,0.1965680093776028,0.0,0.002645149341945964,0.0038737125508000823,17.872954579061876,BOM RETIRO
10,14034.194036499122,12340.6214766351,8179.939021749038,22214.13305824816,0.18936717316295248,0.7137787651265894,0.744360534327039,1.7586635841913087,0.9990440145314334,9.420651658965536,0.5657633697201793,0.5657633697201804,377.0880880314632,916.9091125428579,306.01826181804586,752.1633483094391,486.7895722849006,1196.2158615755247,1.3935548824512387,2.0,3.0,4.0,1983.8684372953262,0.006653479168234647,15017.73852726063,12071.108395237323,13221.620714578836,15610.298515460001,12663.668383436694,13814.180702778207,12526.466555194409,12957.361160911467,12367.38838933701,10902.753088065097,70.53754443716716,62.822500514351994,58.138366704071366,67.23109704167494,0.46368480089736397,0.051458216489063374,0.005608524957936063,0.22602355580482333,0.2323331463825014,0.0089736399326977,0.011918115535614133,0.6724029687780823,0.7830267497928957,0.4381788920968509,0.1444061623396347,0.03453207533064204,0.208341545147219,0.12508863631955325,0.01576463358050739,0.03368805518559279,1.1283070601622578,5.0523271018205165,1.0,1.0,1.0,1.0,1.0,1.0,10689.699816999384,0.16386758023408354,0.19284697654132424,0.3696157336273523,0.4354444635228928,0.0,0.002092826308430803,0.0,0.19284697654132424,0.3696157336273523,0.27157688328880913,0.0,0.002092826308430803,0.0,18.556862664475037,BRAS
11,8719.143171562137,7124.407920894289,4214.244110414344,12933.38728197648,0.2773640752735161,0.5548078216033164,1.4906543927740628,2.2382165849142437,1.1213417639091112,8.871268809216053,0.2006483411245463,0.2010472229898469,215.59566830318195,455.9545694115411,213.36294547009126,449.47245924048855,263.0154979598016,560.9554150186215,0.1992255438575599,1.0,2.0,2.0,1345.7815062919628,0.003982689239157758,669.576937147962,599.1938719305942,667.4387183838041,692.8937233771145,622.5106581597468,690.7555046129567,626.7724030438986,622.2137870339268,610.8522650451705,642.6021518569701,96.41221265431552,95.60481974046165,94.98740162986752,96.2222378510558,0.022365929472292687,0.0041444853335238846,0.008146057379684876,0.11851084354567866,0.7956697273929043,0.0007860230804959092,0.05037693379541963,0.37909963184998946,0.6450189680890464,0.03204863646539558,0.03926333249957877,0.03353897997506759,0.12999897384459702,0.5802492109848639,0.0019352322344316601,0.18296563399606552,0.5344194405584055,5.0985172478386875,0.9995092782676824,0.9998419265659642,0.9995092782676824,0.9998419265659642,0.9995092782676824,0.9998419265659642,11531.552593526058,0.345248173739894,0.030444495898138493,0.14562942153226924,0.8029636689913993,0.0,0.02096241357819297,0.0,0.030444495898138493,0.14562942153226924,0.4577154952515053,0.0,0.02096241357819297,0.0,13.71913743896666,BRASILANDIA
12,10853.922157894092,11325.349296384924,7551.25234984588,18405.174507739972,0.252589114872538,0.6192059028082247,1.237185980088207,2.1051910222307257,0.8909184246687225,9.334798792823497,0.2524373019063292,0.2610054786999266,147.03768860211122,318.179507294991,123.962968030105,274.98702201333504,181.42450832254835,400.4064993696284,0.4524636061280646,2.0,2.0,2.0,1003.975410098241,0.005046461863287027,5772.477592770813,5254.312377816473,5888.291115793142,5674.852573419316,5156.687358464976,5790.666096441645,5176.3480444182405,5081.893279241984,5205.499868140724,4852.416445933443,90.30139681502222,87.8295022914288,87.21152866053043,89.52892977639927,0.09458613675481145,0.006962916601470818,0.01001408230323893,0.05820685338757628,0.8001095290251917,0.0037552808637145987,0.026365201063996244,0.39289025737811956,0.7108764545502597,0.079516274509369,0.009893497116813647,0.43940113381494295,0.15175045648863503,0.2840968076084309,0.0043552909715859735,0.03098653949022252,0.9744322771400542,5.478356686520734,0.9536744105641728,1.0,0.9536575301132921,1.0,0.9990909775899384,1.0,4036.598033996634,0.18529690739387916,0.13991568229189882,0.05307405455704164,0.7456103974907541,0.04094629776960154,0.0064686947768611116,0.013984873113842734,0.13991568229189882,0.05307405455704164,0.5603134900968749,0.04094629776960154,0.0064686947768611116,0.013984873113842734,15.856771318266379,BUTANTA
13,9847.527097220296,8658.724968117438,5437.349112781703,15284.876210002,0.24743056971577043,0.5774972725755172,1.1991320871206173,2.2486257774352483,1.0335722098641682,9.066322758397737,0.20276479604774553,0.20323305796272215,207.16938508681227,410.28250114921457,207.16938508681227,410.25699076721594,246.4578938326886,503.2875753726656,0.2811654429085921,2.0,2.0,2.0,1283.146767955656,0.004170074182349873,1050.7411018944206,933.9353425197962,1013.9364328213401,965.882953161021,849.0771937863968,929.0782840879406,855.9786648418758,933.1976494222953,891.5062681530965,906.8913818944858,90.85855193759397,89.97428379221593,89.38477169529723,90.49010687701978,0.03389632400210391,0.007714335807375372,0.009058500379872596,0.114779966103676,0.7824791070071884,0.001402606510431886,0.05066916018935188,0.4088539581427943,0.6266101614888935,0.0510872361625247,0.012952023369179338,0.02830809772815246,0.12856464415510632,0.5921460155120702,0.0048981148397586735,0.18204386823320826,0.7168309422907138,5.369469890320712,0.9967928840632293,0.9976358008396017,0.9967928840632293,0.9976358008396017,0.9967928840632293,0.9976358008396017,10592.07256259376,0.2937206555588714,0.054781357757622016,0.09530547672067156,0.8368061177949329,0.0,0.013107047726773442,0.0,0.054781357757622016,0.09530547672067156,0.5430854622360616,0.0,0.013107047726773442,0.0,13.01005741964246,CACHOEIRINHA
